         ps       /controltb/rst  /controltb/OPC2                     
          delta     /controltb/clk  /controltb/OPC1                   
                    /controltb/Input    /controltb/Ld                 
                        /controltb/One   /controltb/Bin               
                        /controltb/OPCin  /controltb/Cout             
          0  +0                U U U U U        U U U U U 
          0  +1                1 0 U U 1        0 0 0 0 0 
      50000  +1                1 1 U U 1        0 0 0 0 0 
      62500  +1                1 1 0 0 1        0 0 0 0 0 
     100000  +0                0 1 0 0 1        0 0 0 0 0 
     100000  +1                0 0 0 0 1        0 0 0 0 0 
     150000  +1                0 1 0 0 1        0 0 0 0 0 
     200000  +1                0 0 0 0 1        0 0 0 0 0 
     250000  +1                0 1 0 0 1        0 0 0 0 0 
     262500  +1                0 1 1 0 1        0 0 0 0 0 
     300000  +1                0 0 1 0 1        0 0 0 0 0 
     350000  +1                0 1 1 0 1        0 0 0 0 0 
     350000  +3                0 1 1 0 0        0 0 1 0 0 
     400000  +1                0 0 1 0 0        0 0 1 0 0 
     450000  +1                0 1 1 0 0        0 0 1 0 0 
     450000  +3                0 1 1 0 0        0 1 0 1 0 
     500000  +1                0 0 1 0 0        0 1 0 1 0 
     550000  +1                0 1 1 0 0        0 1 0 1 0 
     550000  +3                0 1 1 0 0        1 1 0 1 0 
     562500  +1                0 1 1 1 0        1 1 0 1 0 
     562500  +2                0 1 1 1 0        1 1 0 1 1 
     600000  +1                0 0 1 1 0        1 1 0 1 1 
     650000  +1                0 1 1 1 0        1 1 0 1 1 
     650000  +3                0 1 1 1 1        0 0 0 0 0 
     662500  +1                0 1 0 0 1        0 0 0 0 0 
     700000  +1                0 0 0 0 1        0 0 0 0 0 
     750000  +1                0 1 0 0 1        0 0 0 0 0 
     800000  +1                0 0 0 0 1        0 0 0 0 0 
     850000  +1                0 1 0 0 1        0 0 0 0 0 
     900000  +1                0 0 0 0 1        0 0 0 0 0 
     950000  +1                0 1 0 0 1        0 0 0 0 0 
    1000000  +1                0 0 0 0 1        0 0 0 0 0 
    1050000  +1                0 1 0 0 1        0 0 0 0 0 
    1100000  +1                0 0 0 0 1        0 0 0 0 0 
    1150000  +1                0 1 0 0 1        0 0 0 0 0 
    1162500  +1                0 1 1 0 1        0 0 0 0 0 
    1200000  +1                0 0 1 0 1        0 0 0 0 0 
    1250000  +1                0 1 1 0 1        0 0 0 0 0 
    1250000  +3                0 1 1 0 0        0 0 1 0 0 
    1300000  +1                0 0 1 0 0        0 0 1 0 0 
    1350000  +1                0 1 1 0 0        0 0 1 0 0 
    1350000  +3                0 1 1 0 0        0 1 0 1 0 
    1362500  +1                0 1 1 1 0        0 1 0 1 0 
    1362500  +2                0 1 1 1 0        0 1 0 1 1 
    1400000  +1                0 0 1 1 0        0 1 0 1 1 
    1450000  +1                0 1 1 1 0        0 1 0 1 1 
    1450000  +3                0 1 1 1 1        0 0 0 0 0 
    1462500  +1                0 1 0 0 1        0 0 0 0 0 
    1500000  +1                0 0 0 0 1        0 0 0 0 0 
    1550000  +1                0 1 0 0 1        0 0 0 0 0 
    1600000  +1                0 0 0 0 1        0 0 0 0 0 
    1650000  +1                0 1 0 0 1        0 0 0 0 0 
    1700000  +1                0 0 0 0 1        0 0 0 0 0 
    1750000  +1                0 1 0 0 1        0 0 0 0 0 
    1800000  +1                0 0 0 0 1        0 0 0 0 0 
    1850000  +1                0 1 0 0 1        0 0 0 0 0 
    1862500  +1                0 1 1 0 1        0 0 0 0 0 
    1900000  +1                0 0 1 0 1        0 0 0 0 0 
    1950000  +1                0 1 1 0 1        0 0 0 0 0 
    1950000  +3                0 1 1 0 0        0 0 1 0 0 
    2000000  +1                0 0 1 0 0        0 0 1 0 0 
    2050000  +1                0 1 1 0 0        0 0 1 0 0 
    2050000  +3                0 1 1 0 0        0 1 0 1 0 
    2100000  +1                0 0 1 0 0        0 1 0 1 0 
    2150000  +1                0 1 1 0 0        0 1 0 1 0 
    2150000  +3                0 1 1 0 0        1 1 0 1 0 
    2162500  +1                1 1 1 0 0        1 1 0 1 0 
    2162500  +3                1 1 1 0 1        0 0 0 0 0 
    2200000  +1                1 0 1 0 1        0 0 0 0 0 
    2250000  +1                1 1 1 0 1        0 0 0 0 0 
    2300000  +1                1 0 1 0 1        0 0 0 0 0 
    2350000  +1                1 1 1 0 1        0 0 0 0 0 
    2400000  +1                1 0 1 0 1        0 0 0 0 0 
    2450000  +1                1 1 1 0 1        0 0 0 0 0 
    2500000  +1                1 0 1 0 1        0 0 0 0 0 
    2550000  +1                1 1 1 0 1        0 0 0 0 0 
    2600000  +1                1 0 1 0 1        0 0 0 0 0 
    2650000  +1                1 1 1 0 1        0 0 0 0 0 
    2700000  +1                1 0 1 0 1        0 0 0 0 0 
    2750000  +1                1 1 1 0 1        0 0 0 0 0 
    2800000  +1                1 0 1 0 1        0 0 0 0 0 
    2850000  +1                1 1 1 0 1        0 0 0 0 0 
    2900000  +1                1 0 1 0 1        0 0 0 0 0 
    2950000  +1                1 1 1 0 1        0 0 0 0 0 
    3000000  +1                1 0 1 0 1        0 0 0 0 0 
